040,050,050,050,050,050,050,050,050,050,151,050,050,050,050,050,050,050,050,050,041
053,000,000,000,000,000,000,000,000,000,120,000,000,000,000,000,000,000,000,000,051
053,000,180,121,181,000,130,121,131,000,112,000,130,121,131,000,180,121,181,000,051
053,000,183,121,182,000,133,121,132,000,000,000,133,121,132,000,183,121,182,000,051
053,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,051
053,000,113,121,111,000,110,000,113,121,141,121,111,000,110,000,113,121,111,000,051
053,000,000,000,000,000,120,000,000,000,122,000,000,000,120,000,000,000,000,000,051
163,121,121,161,000,000,140,121,111,000,112,000,113,123,142,000,000,160,121,121,162
000,000,000,051,000,000,120,000,000,000,000,000,000,000,120,000,000,053,000,000,000
121,121,121,162,000,000,112,000,130,111,000,113,131,000,112,000,000,163,121,121,121
000,000,000,000,000,000,000,000,122,000,000,000,122,000,000,000,000,000,000,000,000
121,121,121,161,000,000,110,000,133,121,121,121,132,000,110,000,000,160,121,121,121
000,000,000,051,000,000,112,000,000,000,000,000,000,000,112,000,000,053,000,000,000
160,121,121,162,000,000,000,000,113,121,141,121,111,000,000,000,000,163,121,121,161
053,000,000,000,000,000,000,000,000,000,122,000,000,000,000,000,000,000,000,000,051
053,000,113,121,131,000,113,121,111,000,112,000,113,121,111,000,130,121,111,000,051
053,000,000,000,122,000,000,000,000,000,000,000,000,000,000,000,122,000,000,000,051
150,121,111,000,112,000,110,000,113,121,141,121,111,000,110,000,112,000,113,121,152
053,000,000,000,000,000,120,000,000,000,122,000,000,000,120,000,000,000,000,000,051
053,000,093,052,052,052,153,052,092,000,112,000,093,052,153,052,052,052,092,000,051
053,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,051
043,052,052,052,052,052,052,052,052,052,052,052,052,052,052,052,052,052,052,052,042
